Leaderboard:

     model                          score_test    score_val  eval_metric      pred_time_test    pred_time_val      fit_time    pred_time_test_marginal    pred_time_val_marginal    fit_time_marginal    stack_level  can_infer      fit_order
 37  NeuralNetTorch_r197_BAG_L1   -0.139433      -0.173549   log_loss             0.0302341        0.0252399     1.57143                    0.0302341                 0.0252399            1.57143                 1  True                  44
 38  RandomForest_r166_BAG_L1     -0.139693      -0.538173   log_loss             0.0768459        0.0986633     0.768139                   0.0768459                 0.0986633            0.768139                1  True                  62
 39  RandomForestGini_BAG_L1      -0.139693      -0.538173   log_loss             0.0873799        0.123714      0.5927                     0.0873799                 0.123714             0.5927                  1  True                   6
 40  RandomForestEntr_BAG_L1      -0.141626      -0.541083   log_loss             0.0833611        0.0997829     0.539978                   0.0833611                 0.0997829            0.539978                1  True                   7
 41  XGBoost_r49_BAG_L2           -0.148628      -0.414583   log_loss            19.717            3.66374     228.05                       0.428042                  0.0206299            4.89766                 2  True                 147
 42  NeuralNetTorch_r22_BAG_L2    -0.151425      -0.48373    log_loss            20.5802           4.88851     229.378                      1.29128                   1.2454               6.22536                 2  True                 106
 43  XGBoost_r33_BAG_L2           -0.151612      -0.426304   log_loss            20.4819           3.6675      239.389                      1.19299                   0.024394            16.2372                  2  True                 107
 44  XGBoost_r49_BAG_L1           -0.151857      -0.482742   log_loss             1.4641           0.019655      7.49295                    1.4641                    0.019655             7.49295                 1  True                  58
 45  XGBoost_r89_BAG_L2           -0.159015      -0.436072   log_loss            20.3864           3.66634     236.431                      1.09748                   0.0232301           13.2785                  2  True                 113
 46  LightGBM_r15_BAG_L2          -0.161855      -0.245076   log_loss            19.3669           3.65558     226.55                       0.0779889                 0.0124671            3.39817                 2  True                 130
 47  NeuralNetTorch_r30_BAG_L2    -0.164587      -0.471816   log_loss            20.6335           4.92616     229.449                      1.34457                   1.28305              6.29683                 2  True                 114
 48  LightGBMLarge_BAG_L1         -0.164657      -0.439915   log_loss             0.152235         0.00784993    4.47159                    0.152235                  0.00784993           4.47159                 1  True                  12
 49  XGBoost_r33_BAG_L1           -0.165341      -0.508752   log_loss             2.12521          0.020982     13.2444                     2.12521                   0.020982            13.2444                  1  True                  18
 50  XGBoost_r89_BAG_L1           -0.170599      -0.516802   log_loss             0.632849         0.0171082     2.93817                    0.632849                  0.0171082            2.93817                 1  True                  24
 51  NeuralNetTorch_r143_BAG_L1   -0.176057      -0.218542   log_loss             0.0899758        0.0260434     5.83797                    0.0899758                 0.0260434            5.83797                 1  True                  51
 52  NeuralNetTorch_r31_BAG_L2    -0.176721      -0.44747    log_loss            20.675            4.83345     227.862                      1.38609                   1.19034              4.71002                 2  True                 142
 53  NeuralNetTorch_r36_BAG_L2    -0.179076      -0.345213   log_loss            20.5487           4.83175     229.284                      1.25981                   1.18864              6.13156                 2  True                 171
 54  XGBoost_r194_BAG_L2          -0.182165      -0.508109   log_loss            20.0383           4.23841     235.442                      0.749409                  0.595304            12.2894                  2  True                 118
 55  LightGBM_r188_BAG_L1         -0.184271      -0.348675   log_loss             0.390341         0.0131395     8.51194                    0.390341                  0.0131395            8.51194                 1  True                  22
 56  RandomForest_r195_BAG_L2     -0.187921      -0.392259   log_loss            19.3617           3.74924     224.081                      0.072711                  0.10613              0.928481                2  True                 110
 57  RandomForest_r16_BAG_L2      -0.188341      -0.4162     log_loss            19.3729           3.75302     224.144                      0.083952                  0.109912             0.991894                2  True                 166
 58  XGBoost_r98_BAG_L2           -0.190216      -0.499612   log_loss            20.9015           4.11747     257.472                      1.61251                   0.474364            34.3199                  2  True                 129
 59  XGBoost_r194_BAG_L1          -0.195333      -0.544132   log_loss             0.528234         0.0193281     3.13508                    0.528234                  0.0193281            3.13508                 1  True                  29
 60  NeuralNetTorch_r79_BAG_L2    -0.196259      -0.443282   log_loss            20.6341           4.92706     229.713                      1.34514                   1.28395              6.56077                 2  True                 102
 61  XGBoost_r31_BAG_L2           -0.197827      -0.547155   log_loss            20.1542           3.66995     232.518                      0.865211                  0.026845             9.36614                 2  True                 152
 62  NeuralNetTorch_r86_BAG_L2    -0.198627      -0.491897   log_loss            20.6153           5.60858     230.572                      1.3264                    1.96548              7.41971                 2  True                 116
 63  XGBoost_BAG_L2               -0.201166      -0.59019    log_loss            19.5276           3.66569     226.194                      0.238704                  0.0225775            3.04197                 2  True                  99
 64  XGBoost_r98_BAG_L1           -0.211751      -0.584861   log_loss             3.13236          0.0273561    18.0917                     3.13236                   0.0273561           18.0917                  1  True                  40
 65  RandomForest_r166_BAG_L2     -0.213737      -0.454871   log_loss            19.3451           3.74045     224.035                      0.056174                  0.097338             0.882449                2  True                 151
 66  XGBoost_r31_BAG_L1           -0.215297      -0.582012   log_loss             2.57437          0.0260398    14.1154                     2.57437                   0.0260398           14.1154                  1  True                  63
 67  LightGBM_r196_BAG_L1         -0.215999      -0.370603   log_loss             0.691573         0.0201335    12.8766                     0.691573                  0.0201335           12.8766                  1  True                  36
 68  NeuralNetTorch_r1_BAG_L2     -0.216527      -0.485388   log_loss            20.6224           4.84833     229.881                      1.3335                    1.20522              6.72902                 2  True                 178
 69  NeuralNetTorch_r143_BAG_L2   -0.219682      -0.453208   log_loss            20.6862           4.88279     234.087                      1.39728                   1.23968             10.9348                  2  True                 140
 70  ExtraTrees_r49_BAG_L2        -0.222393      -0.377762   log_loss            19.3433           3.74501     223.853                      0.0543311                 0.101899             0.700501                2  True                 134
 71  ExtraTreesGini_BAG_L2        -0.222393      -0.377762   log_loss            19.3551           3.77184     223.813                      0.0661662                 0.128728             0.661113                2  True                  97
 72  ExtraTreesEntr_BAG_L2        -0.223552      -0.412101   log_loss            19.3466           3.75165     223.805                      0.057662                  0.108542             0.652696                2  True                  98
 73  XGBoost_r22_BAG_L2           -0.224049      -0.581455   log_loss            19.5707           3.66349     226.095                      0.281786                  0.0203769            2.94244                 2  True                 157
 74  ExtraTrees_r197_BAG_L2       -0.224957      -0.302658   log_loss            19.3502           3.75019     224.069                      0.0612559                 0.107079             0.916623                2  True                 163
 75  NeuralNetTorch_r14_BAG_L1    -0.225495      -0.285755   log_loss             0.0402238        0.025218      4.63876                    0.0402238                 0.025218             4.63876                 1  True                  32
 76  RandomForest_r39_BAG_L2      -0.22623       -0.535872   log_loss            19.3643           3.76224     223.986                      0.0754013                 0.119132             0.833392                2  True                 126
 77  RandomForestGini_BAG_L2      -0.22724       -0.460703   log_loss            19.3742           3.74934     223.824                      0.0852201                 0.106234             0.672175                2  True                  95
 78  NeuralNetTorch_r121_BAG_L2   -0.231861      -0.521729   log_loss            20.5688           4.82721     230.272                      1.27982                   1.1841               7.11941                 2  True                 164
 79  LightGBM_r161_BAG_L2         -0.237304      -0.28172    log_loss            19.471            3.65817     228.028                      0.182096                  0.0150595            4.87594                 2  True                 122
 80  XGBoost_BAG_L1               -0.239164      -0.622073   log_loss             0.656223         0.0171509     3.126                      0.656223                  0.0171509            3.126                   1  True                  10
 81  RandomForestEntr_BAG_L2      -0.239663      -0.52085    log_loss            19.3772           3.75545     223.839                      0.088304                  0.112338             0.686917                2  True                  96
 82  ExtraTrees_r42_BAG_L2        -0.241219      -0.316951   log_loss            19.3675           3.75002     224.011                      0.0785871                 0.106908             0.858924                2  True                 108
 83  NeuralNetTorch_r14_BAG_L2    -0.246233      -0.489028   log_loss            20.8636           4.85838     228.667                      1.5747                    1.21527              5.51506                 2  True                 121
 84  XGBoost_r34_BAG_L2           -0.249421      -0.613702   log_loss            19.6757           3.66341     227.466                      0.386748                  0.0203023            4.31332                 2  True                 176
 85  NeuralNetTorch_r185_BAG_L2   -0.25186       -0.51462    log_loss            20.9586           4.95001     230.331                      1.66962                   1.3069               7.17892                 2  True                 153
 86  LightGBMLarge_BAG_L2         -0.253866      -0.25887    log_loss            19.3431           3.65439     227.218                      0.054172                  0.0112777            4.06579                 2  True                 101
 87  NeuralNetTorch_r41_BAG_L2    -0.258404      -0.549048   log_loss            20.5967           4.85979     229.472                      1.30772                   1.21668              6.31973                 2  True                 128
 88  RandomForest_r39_BAG_L1      -0.259921      -0.737462   log_loss             0.0780001        0.10612       0.692844                   0.0780001                 0.10612              0.692844                1  True                  37
 89  ExtraTrees_r126_BAG_L2       -0.265307      -0.537167   log_loss            19.3456           3.75207     223.938                      0.0566561                 0.108963             0.785533                2  True                 170
 90  XGBoost_r22_BAG_L1           -0.27679       -0.70264    log_loss             0.44278          0.0181041     2.25068                    0.44278                   0.0181041            2.25068                 1  True                  68
 91  XGBoost_r95_BAG_L2           -0.277011      -0.685614   log_loss            19.528            3.66389     226.277                      0.239057                  0.0207801            3.12451                 2  True                 175
 92  RandomForest_r15_BAG_L2      -0.295387      -0.642745   log_loss            19.3597           3.7531      223.977                      0.0707421                 0.109992             0.825142                2  True                 155
 93  NeuralNetTorch_r158_BAG_L2   -0.298993      -0.582985   log_loss            20.7989           4.84755     228.85                       1.51001                   1.20444              5.69783                 2  True                 131
 94  XGBoost_r34_BAG_L1           -0.30595       -0.728476   log_loss             0.710376         0.0174577     3.04607                    0.710376                  0.0174577            3.04607                 1  True                  87
 95  NeuralNetTorch_BAG_L2        -0.306256      -0.653269   log_loss            20.6049           4.86639     232.801                      1.31595                   1.22328              9.64841                 2  True                 100
 96  NeuralNetTorch_r87_BAG_L2    -0.330314      -0.591241   log_loss            20.5903           4.88522     228.033                      1.3014                    1.24211              4.88063                 2  True                 148
 97  XGBoost_r95_BAG_L1           -0.355298      -0.782571   log_loss             0.426856         0.0186307     2.00265                    0.426856                  0.0186307            2.00265                 1  True                  86
 98  NeuralNetTorch_r89_BAG_L2    -0.36858       -0.537876   log_loss            20.5225           4.83187     228.78                       1.23351                   1.18876              5.62729                 2  True                 179
 99  RandomForest_r15_BAG_L1      -0.402505      -0.897485   log_loss             0.0619628        0.099808      0.653156                   0.0619628                 0.099808             0.653156                1  True                  66
100  ExtraTrees_r172_BAG_L2       -0.440701      -0.726168   log_loss            19.3753           3.76233     223.829                      0.0863292                 0.119217             0.676597                2  True                 119
101  ExtraTrees_r178_BAG_L2       -0.448632      -0.724433   log_loss            19.3438           3.74175     223.873                      0.0548761                 0.0986371            0.720361                2  True                 150
102  RandomForest_r127_BAG_L2     -0.495092      -0.927204   log_loss            19.3656           3.74323     224.069                      0.0766749                 0.10012              0.916303                2  True                 136
103  ExtraTrees_r126_BAG_L1       -0.55371       -0.921852   log_loss             0.0528321        0.0975909     0.573818                   0.0528321                 0.0975909            0.573818                1  True                  81
104  LightGBM_r121_BAG_L1         -0.579251      -0.822942   log_loss             0.290924         0.0108862     6.66713                    0.290924                  0.0108862            6.66713                 1  True                  71
105  RandomForest_r127_BAG_L1     -0.636757      -1.10938    log_loss             0.081646         0.0958109     0.826733                   0.081646                  0.0958109            0.826733                1  True                  47
106  ExtraTrees_r172_BAG_L1       -0.802465      -1.18506    log_loss             0.0752959        0.155581      0.91504                    0.0752959                 0.155581             0.91504                 1  True                  30
107  KNeighborsUnif_BAG_L1        -0.897446      -2.3072     log_loss             0.0167501        0.040566      0.420416                   0.0167501                 0.040566             0.420416                1  True                   1
