Leaderboard:

     model                          score_test    score_val  eval_metric      pred_time_test    pred_time_val      fit_time    pred_time_test_marginal    pred_time_val_marginal    fit_time_marginal    stack_level  can_infer      fit_order
172  NeuralNetFastAI_r65_BAG_L1   -1.80897       -1.83228    log_loss             0.055558         0.0343249     0.764757                   0.055558                  0.0343249            0.764757                1  True                  55
173  NeuralNetFastAI_r156_BAG_L1  -1.80897       -1.83228    log_loss             0.0650742        0.0298867     0.809009                   0.0650742                 0.0298867            0.809009                1  True                  35
174  NeuralNetFastAI_r172_BAG_L1  -1.80897       -1.83228    log_loss             0.0803978        0.028131      0.698346                   0.0803978                 0.028131             0.698346                1  True                  72
175  NeuralNetFastAI_r127_BAG_L2  -1.82121       -1.81101    log_loss            19.3683           3.68116     225.525                      0.079355                  0.0380507            2.37278                 2  True                 165
176  NeuralNetFastAI_BAG_L2       -1.82121       -1.81101    log_loss            19.3866           3.67925     225.426                      0.0977011                 0.0361431            2.2734                  2  True                  92
177  NeuralNetFastAI_r102_BAG_L2  -1.82121       -1.81101    log_loss            19.3912           3.68216     225.563                      0.102299                  0.039052             2.41036                 2  True                 109
178  NeuralNetFastAI_r4_BAG_L1    -1.84798       -1.82383    log_loss             0.0482271        0.0284104     0.665597                   0.0482271                 0.0284104            0.665597                1  True                  80
179  NeuralNetFastAI_r4_BAG_L2    -1.97231       -1.9441     log_loss            19.3576           3.67875     225.439                      0.068646                  0.0356352            2.28624                 2  True                 169


Training result:

log_loss: -0.0010246773084901762
accuracy: 1.0
balanced_accuracy: 1.0
mcc: 1.0
average entropy across training data: 0.00681


Training data predictions with class membership probabilities:

ID                         acutior    confusa    delicatula    delicatula_14    interfixa    teretiuscula
-----------------------  ---------  ---------  ------------  ---------------  -----------  --------------
Du_Rietz_725d_L-124898     0.00000    0.00000       1.00000          0.00000      0.00000         0.00000
Nordin_7191                0.00000    0.00000       1.00000          0.00000      0.00000         0.00000
Thor_10264                 0.00000    0.00000       1.00000          0.00000      0.00000         0.00000
Westberg_P108              0.00000    0.00000       1.00000          0.00000      0.00000         0.00000
Westberg_PAD262            0.00000    0.00000       1.00000          0.00000      0.00000         0.00000
Westberg_Paltsan_C84       0.00000    0.00000       1.00000          0.00000      0.00000         0.00000
Westberg_Hedenas_PL432a    0.00000    0.02527       0.97473          0.00000      0.00000         0.00000
Westberg_15_061            0.00000    0.00000       0.00000          0.99999      0.00000         0.00000
Nordin_5687                0.00000    1.00000       0.00000          0.00000      0.00000         0.00000
Nordin_7387                0.00000    1.00000       0.00000          0.00000      0.00000         0.00000
Degelius_1948_L-60479      0.00000    0.99999       0.00000          0.00000      0.00000         0.00000
MS3870_C436                0.00000    1.00000       0.00000          0.00000      0.00000         0.00000
Westberg_ULR152            0.00000    1.00000       0.00000          0.00000      0.00000         0.00000
Westberg_ULR009            1.00000    0.00000       0.00000          0.00000      0.00000         0.00000
L-794772_Fiby              1.00000    0.00000       0.00000          0.00000      0.00000         0.00000
MS3209                     1.00000    0.00000       0.00000          0.00000      0.00000         0.00000
MS3047_C006                1.00000    0.00000       0.00000          0.00000      0.00000         0.00000
MS1281_C016                1.00000    0.00000       0.00000          0.00000      0.00000         0.00000
Hermansson_15200_C082      1.00000    0.00000       0.00000          0.00000      0.00000         0.00000
LD_1117062                 0.00000    0.00000       0.00000          0.00000      1.00000         0.00000
teretiuscula_holo          0.00000    0.00000       0.00000          0.00000      0.00000         1.00000
C1237                      0.00000    1.00000       0.00000          0.00000      0.00000         0.00000
C1239                      0.00000    1.00000       0.00000          0.00000      0.00000         0.00000
C1233                      0.00000    1.00000       0.00000          0.00000      0.00000         0.00000
C1243                      0.00000    1.00000       0.00000          0.00000      0.00000         0.00000


Feature importance:

        importance    stddev      p_value    n    p99_high    p99_low
----  ------------  --------  -----------  ---  ----------  ---------
W         6.47321   0.469828  3.30684e-06    5     7.4406    5.50583
L         2.74076   0.798647  0.000775316    5     4.38519   1.09634
Ap        2.72124   1.23936   0.0039941      5     5.27309   0.16938
Sept      0.892774  0.34928   0.00231792     5     1.61195   0.173601


Test data predictions with class membership probabilities:

ID                              acutior    confusa    delicatula    delicatula_14    interfixa    teretiuscula
----------------------------  ---------  ---------  ------------  ---------------  -----------  --------------
L-062018                        0.00000    0.00000       0.00000          0.00000      1.00000         0.00000
L-602621                        0.00000    0.00000       0.00000          0.00000      1.00000         0.00000
acutior_lecto                   1.00000    0.00000       0.00000          0.00000      0.00000         0.00000
cisalpina_iso                   0.00000    0.00011       0.99989          0.00000      0.00000         0.00000
delicatula_lecto                0.00000    0.00000       1.00000          0.00000      0.00000         0.00000
interfixa_isolecto_S_F145773    0.00000    0.00000       0.00000          0.00000      1.00000         0.00000
S-F145788                       0.00000    0.00000       0.00000          0.00000      1.00000         0.00000


Combined mean absolute SHAP values for each class:

                     L        W       Ap     Sept
-------------  -------  -------  -------  -------
acutior        0.01788  0.26583  0.09699  0.00857
confusa        0.11916  0.26141  0.12092  0.02395
delicatula     0.10684  0.32638  0.07834  0.00193
delicatula_14  0.04485  0.01679  0.03796  0.00071
interfixa      0.00340  0.00905  0.00325  0.06147
teretiuscula   0.01215  0.06884  0.11420  0.02930

