Gen	theta_1ABCDEF	theta_2GHIJKLM	theta_3NOPRTUV	theta_8ABCDEFNOPRTUVSXZGHIJKLMY	theta_9ABCDEFNOPRTUVSXZ	theta_10NOPRTUVSXZ	theta_11NOPRTUVS	theta_12XZ	theta_13GHIJKLMY	tau_8ABCDEFNOPRTUVSXZGHIJKLMY	tau_9ABCDEFNOPRTUVSXZ	tau_10NOPRTUVSXZ	tau_11NOPRTUVS	tau_12XZ	tau_13GHIJKLMY	lnL
3600	0.000785	0.001070	0.012161	0.004337	0.005675	0.003041	0.002303	0.001668	0.003260	0.011733	0.011096	0.004695	0.003115	0.003769	0.010183	-4702.966
3700	0.000999	0.000793	0.006674	0.003288	0.004383	0.004478	0.001272	0.002073	0.003769	0.008395	0.008310	0.006718	0.003026	0.003013	0.004947	-4701.620
3800	0.001032	0.001236	0.007233	0.004179	0.002577	0.001425	0.001730	0.003187	0.003034	0.007278	0.006115	0.004651	0.003573	0.002189	0.006670	-4696.224
3900	0.000756	0.001445	0.005973	0.003535	0.001945	0.003798	0.001757	0.001128	0.003268	0.006701	0.006606	0.003799	0.003143	0.003002	0.002759	-4692.444
4000	0.000665	0.001068	0.008125	0.002789	0.002157	0.001258	0.001002	0.001705	0.001705	0.007865	0.007751	0.005561	0.003574	0.000218	0.005168	-4700.130
4100	0.001284	0.001314	0.007986	0.003596	0.005084	0.000952	0.002020	0.003880	0.001668	0.009277	0.007946	0.005803	0.002653	0.000107	0.008801	-4696.984
4200	0.001475	0.001752	0.006035	0.004233	0.007839	0.001037	0.001707	0.000776	0.002203	0.008107	0.008031	0.007103	0.003862	0.003341	0.006402	-4698.644
4300	0.000836	0.001631	0.008082	0.004227	0.003629	0.001879	0.002590	0.001031	0.003889	0.007559	0.007069	0.006171	0.002633	0.003677	0.007228	-4697.879
4400	0.001453	0.000763	0.013401	0.005154	0.001875	0.001250	0.001721	0.002050	0.005958	0.009296	0.008963	0.006580	0.002640	0.002295	0.007384	-4701.840
4500	0.000719	0.001088	0.006290	0.003664	0.001479	0.001684	0.001714	0.001299	0.001188	0.006830	0.006254	0.005117	0.003767	0.002238	0.004574	-4700.593
4600	0.001682	0.001403	0.004379	0.004586	0.001768	0.001694	0.002419	0.003680	0.004739	0.008697	0.007818	0.007006	0.004712	0.005242	0.007091	-4692.138
4700	0.001775	0.002147	0.008844	0.005323	0.002092	0.001851	0.001266	0.001893	0.001684	0.008008	0.007726	0.005975	0.003298	0.002844	0.007809	-4697.174
4800	0.001430	0.001129	0.003295	0.002914	0.002289	0.001159	0.001290	0.001640	0.001324	0.007625	0.006783	0.006426	0.003411	0.003859	0.006194	-4697.194
4900	0.000978	0.001753	0.004876	0.003189	0.007938	0.001980	0.002589	0.004151	0.001206	0.006671	0.006195	0.003566	0.002740	0.001008	0.005547	-4690.238
5000	0.001047	0.001193	0.010432	0.002504	0.004196	0.000799	0.004287	0.000689	0.001248	0.009732	0.008009	0.006401	0.004644	0.001998	0.008718	-4709.133
5100	0.001712	0.001136	0.005284	0.004897	0.000937	0.003066	0.001329	0.001110	0.003096	0.010017	0.009433	0.007208	0.005900	0.006015	0.005152	-4697.806
5200	0.001663	0.001397	0.002120	0.004594	0.001025	0.004208	0.002172	0.003127	0.009519	0.010824	0.010078	0.004397	0.003268	0.003273	0.003935	-4707.621
5300	0.000773	0.001789	0.004539	0.004354	0.001588	0.004842	0.001610	0.001171	0.001265	0.007652	0.007492	0.005292	0.003075	0.003792	0.006059	-4695.918
5400	0.000690	0.001141	0.010328	0.009960	0.001907	0.001790	0.001453	0.002355	0.002524	0.006713	0.006100	0.005351	0.003709	0.002503	0.002154	-4696.548
5500	0.001395	0.001593	0.006550	0.005911	0.003951	0.004391	0.001594	0.002202	0.005777	0.006414	0.006282	0.004610	0.002312	0.002220	0.002173	-4692.062
5600	0.001554	0.001758	0.007087	0.006188	0.008623	0.001876	0.001930	0.001922	0.002422	0.009236	0.008076	0.004142	0.002349	0.003044	0.007641	-4697.960
5700	0.001331	0.001176	0.005719	0.005999	0.007684	0.002796	0.001435	0.002201	0.000993	0.009794	0.008593	0.006791	0.005610	0.001249	0.008338	-4699.077
5800	0.001539	0.000927	0.005194	0.003440	0.005446	0.002290	0.004956	0.003350	0.002336	0.008008	0.007691	0.004224	0.002119	0.001689	0.007314	-4693.696
5900	0.000982	0.000692	0.014548	0.006341	0.001202	0.002495	0.001833	0.001568	0.009538	0.008646	0.008217	0.006050	0.004286	0.002015	0.006765	-4692.541
6000	0.000930	0.001206	0.013064	0.003275	0.001689	0.001439	0.005463	0.002523	0.001464	0.007821	0.006794	0.005121	0.004715	0.004333	0.007730	-4692.680
6100	0.001211	0.001230	0.009996	0.001845	0.001107	0.002400	0.001325	0.003750	0.003845	0.010768	0.009821	0.007324	0.002824	0.005706	0.003839	-4705.632
6200	0.001327	0.001588	0.002904	0.004874	0.002049	0.001405	0.003427	0.000881	0.003506	0.008355	0.007022	0.005376	0.001853	0.004096	0.005676	-4700.978
6300	0.003252	0.001838	0.003283	0.004926	0.004490	0.001970	0.001802	0.001153	0.002674	0.008306	0.008126	0.005775	0.002419	0.003109	0.007293	-4695.742
6400	0.001612	0.001708	0.009078	0.007361	0.003698	0.002148	0.001602	0.002263	0.002203	0.006193	0.005917	0.004376	0.002637	0.003285	0.003091	-4703.217
6500	0.001160	0.000739	0.013184	0.004526	0.005252	0.001656	0.001769	0.002692	0.002076	0.009237	0.008930	0.007084	0.004079	0.002335	0.006036	-4695.609
6600	0.001636	0.000731	0.004762	0.003985	0.001882	0.003380	0.003263	0.002664	0.008312	0.009466	0.009114	0.006480	0.002555	0.003579	0.002003	-4696.493
6700	0.001389	0.001038	0.005693	0.001497	0.005050	0.006580	0.001505	0.000861	0.001269	0.013493	0.013476	0.007130	0.005900	0.005031	0.007840	-4702.009
6800	0.000866	0.001630	0.008972	0.003560	0.014482	0.001047	0.001315	0.001074	0.002060	0.009929	0.006715	0.004281	0.004035	0.003350	0.008140	-4690.788
6900	0.001313	0.002266	0.004256	0.003419	0.002719	0.001036	0.001144	0.006011	0.012670	0.010859	0.007095	0.005100	0.003400	0.001792	0.003616	-4694.817
7000	0.001091	0.001218	0.005467	0.003769	0.002991	0.001509	0.001752	0.001798	0.001535	0.008448	0.005492	0.004805	0.003982	0.002939	0.007493	-4696.896
7100	0.001232	0.001190	0.006455	0.002521	0.001504	0.002465	0.001242	0.001450	0.001692	0.008072	0.007497	0.004818	0.004337	0.003779	0.006935	-4698.252
7200	0.000982	0.002253	0.008167	0.006638	0.001189	0.004943	0.001382	0.005368	0.001499	0.007616	0.007342	0.006930	0.004132	0.001554	0.007024	-4693.555
7300	0.000875	0.001298	0.006809	0.006502	0.002813	0.002433	0.000606	0.009094	0.001172	0.008729	0.008407	0.006468	0.004588	0.000557	0.007087	-4696.531
7400	0.001126	0.001777	0.003370	0.003949	0.003638	0.001559	0.002331	0.001383	0.001257	0.007872	0.007398	0.005939	0.003411	0.002511	0.007351	-4694.091
7500	0.001785	0.001853	0.010724	0.007471	0.002152	0.002529	0.001819	0.001689	0.002269	0.010593	0.007339	0.006270	0.004536	0.004512	0.009514	-4699.688
7600	0.000818	0.001402	0.004502	0.004577	0.003143	0.004979	0.001446	0.002347	0.001281	0.008104	0.008098	0.004790	0.004044	0.002671	0.006656	-4692.178
7700	0.001105	0.000815	0.006019	0.004647	0.004092	0.002357	0.003852	0.001640	0.001819	0.008777	0.007862	0.005593	0.003326	0.003405	0.007247	-4689.649
7800	0.001114	0.001970	0.003808	0.007011	0.004391	0.002485	0.002118	0.000663	0.001021	0.008998	0.008378	0.006873	0.004969	0.004021	0.007964	-4696.493
7900	0.001515	0.002703	0.014800	0.005812	0.001586	0.001734	0.000908	0.005962	0.001586	0.008386	0.007897	0.007258	0.003778	0.003723	0.006190	-4690.676
8000	0.001015	0.001091	0.010762	0.005182	0.008123	0.002222	0.000752	0.008699	0.003076	0.007672	0.007256	0.005980	0.005124	0.005777	0.002473	-4696.965
8100	0.002192	0.001658	0.006998	0.005072	0.002418	0.001176	0.001658	0.001290	0.001503	0.008032	0.007912	0.007092	0.004504	0.004497	0.006866	-4692.173
8200	0.002043	0.003325	0.006143	0.006744	0.000932	0.002149	0.001693	0.001731	0.002599	0.008727	0.008697	0.005565	0.005026	0.004334	0.006565	-4700.336
8300	0.001869	0.000848	0.008237	0.003722	0.009057	0.001398	0.000728	0.001211	0.001391	0.010470	0.006063	0.005767	0.002964	0.003536	0.008959	-4695.239
8400	0.001504	0.001380	0.008368	0.005888	0.002051	0.001323	0.002407	0.004779	0.002657	0.009127	0.008264	0.005939	0.004718	0.003674	0.006553	-4693.712
8500	0.002495	0.000735	0.001877	0.005080	0.003242	0.001210	0.000632	0.007285	0.002573	0.009435	0.008626	0.005832	0.005111	0.001418	0.005548	-4702.911
8600	0.000702	0.001083	0.003138	0.007034	0.007625	0.013377	0.001891	0.001191	0.004484	0.007646	0.007120	0.004943	0.003162	0.003793	0.005937	-4691.133
8700	0.002452	0.001885	0.003659	0.008440	0.003015	0.002141	0.001240	0.001795	0.001517	0.007475	0.007102	0.005892	0.004358	0.003741	0.006508	-4689.133
8800	0.001369	0.001116	0.004300	0.009411	0.001626	0.001509	0.002190	0.002150	0.001200	0.007951	0.007551	0.006230	0.003410	0.002455	0.007013	-4690.878
8900	0.001246	0.001110	0.005324	0.014345	0.002600	0.003440	0.002991	0.001444	0.001903	0.008485	0.007449	0.007146	0.004807	0.004071	0.005577	-4697.891
9000	0.000832	0.001959	0.007922	0.005283	0.006530	0.002082	0.001646	0.001427	0.002930	0.008255	0.007813	0.007038	0.002568	0.004847	0.005794	-4693.933
9100	0.001422	0.000944	0.010042	0.001956	0.008536	0.001522	0.001063	0.001360	0.001536	0.008385	0.007541	0.004781	0.003336	0.003021	0.007273	-4694.838
