Gen	theta_1ABCDEF	theta_2GHIJKLM	theta_3NOPRTUV	theta_8ABCDEFNOPRTUVSXZGHIJKLMY	theta_9ABCDEFNOPRTUVSXZ	theta_10NOPRTUVSXZ	theta_11NOPRTUVS	theta_12XZ	theta_13GHIJKLMY	tau_8ABCDEFNOPRTUVSXZGHIJKLMY	tau_9ABCDEFNOPRTUVSXZ	tau_10NOPRTUVSXZ	tau_11NOPRTUVS	tau_12XZ	tau_13GHIJKLMY	lnL
66100	0.001505	0.001345	0.010246	0.002385	0.003628	0.001913	0.001032	0.001377	0.003094	0.006949	0.005339	0.004420	0.002686	0.002389	0.006712	-4694.614
66200	0.001501	0.001097	0.009355	0.004236	0.002333	0.003583	0.004469	0.003825	0.001368	0.007002	0.006916	0.005528	0.002310	0.003806	0.006183	-4702.550
66300	0.001411	0.001769	0.009507	0.009479	0.006328	0.000981	0.003593	0.003276	0.001187	0.009385	0.009216	0.007520	0.002642	0.002136	0.008385	-4704.358
66400	0.004290	0.001965	0.007520	0.009353	0.003485	0.001511	0.001181	0.001135	0.003134	0.008153	0.007781	0.007469	0.005681	0.004747	0.006830	-4697.772
66500	0.000907	0.001481	0.002932	0.004564	0.001943	0.002278	0.002250	0.007235	0.003272	0.007407	0.007144	0.006381	0.003416	0.003350	0.006178	-4698.476
66600	0.000797	0.001494	0.002785	0.003775	0.003236	0.001693	0.002016	0.001645	0.003113	0.009061	0.009011	0.006825	0.003579	0.004801	0.008548	-4690.684
66700	0.000709	0.001491	0.008425	0.004184	0.010838	0.000998	0.001239	0.000765	0.004117	0.008410	0.005471	0.005353	0.003061	0.004419	0.007385	-4695.950
66800	0.001383	0.003236	0.004954	0.005347	0.001946	0.001255	0.002556	0.002618	0.002775	0.008380	0.007614	0.006255	0.003389	0.000840	0.006311	-4700.366
66900	0.000632	0.001322	0.004120	0.004758	0.004793	0.001161	0.002221	0.001685	0.008701	0.005987	0.005871	0.004805	0.001780	0.002464	0.001352	-4690.742
67000	0.001266	0.001510	0.004357	0.003401	0.002213	0.000765	0.003359	0.001529	0.004806	0.009767	0.009255	0.006135	0.004107	0.003059	0.007459	-4692.420
67100	0.001344	0.001518	0.004317	0.004796	0.001515	0.001958	0.000988	0.002849	0.001225	0.009865	0.009747	0.007380	0.004032	0.004763	0.007402	-4692.164
67200	0.001242	0.002220	0.005272	0.004231	0.004623	0.002866	0.001928	0.003696	0.003209	0.012344	0.012080	0.005657	0.004131	0.003875	0.007852	-4697.041
67300	0.001192	0.003880	0.010811	0.004426	0.002998	0.000672	0.002215	0.001846	0.003128	0.010180	0.008468	0.007221	0.004371	0.004351	0.005240	-4696.154
67400	0.001143	0.001146	0.009264	0.002398	0.001949	0.002104	0.001638	0.001744	0.002225	0.008604	0.006475	0.005042	0.003138	0.000669	0.007345	-4696.544
67500	0.000787	0.002561	0.006601	0.003061	0.002425	0.002579	0.003356	0.000955	0.003244	0.009519	0.008923	0.006035	0.003938	0.002523	0.007029	-4704.400
67600	0.001328	0.001290	0.007682	0.007983	0.008438	0.001292	0.002137	0.000866	0.002852	0.006682	0.006310	0.003671	0.002641	0.002104	0.006072	-4695.439
67700	0.001662	0.001150	0.004100	0.003375	0.003586	0.001752	0.002173	0.002573	0.002883	0.007942	0.006856	0.006438	0.004034	0.001876	0.005777	-4696.871
67800	0.002030	0.000945	0.012513	0.009767	0.002095	0.001529	0.001349	0.002587	0.004041	0.007271	0.006803	0.006413	0.004479	0.002970	0.006008	-4696.985
67900	0.001218	0.001280	0.006722	0.012778	0.018008	0.002670	0.001287	0.001579	0.002789	0.008212	0.007767	0.006241	0.003582	0.004439	0.006008	-4701.990
68000	0.000864	0.001196	0.003258	0.003365	0.010062	0.001639	0.000641	0.006994	0.001673	0.009160	0.008717	0.005041	0.003157	0.001298	0.008768	-4706.727
68100	0.001327	0.001672	0.006279	0.004377	0.001120	0.001631	0.002965	0.002535	0.001287	0.009075	0.008878	0.006432	0.003845	0.002969	0.008038	-4694.796
68200	0.001541	0.001337	0.003748	0.006371	0.002265	0.002214	0.001968	0.003900	0.002671	0.007944	0.007866	0.006663	0.004051	0.005514	0.006133	-4698.335
68300	0.001130	0.001288	0.004909	0.005307	0.002098	0.005365	0.002050	0.001860	0.005944	0.008400	0.008222	0.007936	0.004119	0.005605	0.005812	-4695.888
68400	0.001252	0.001702	0.008627	0.009043	0.001738	0.000558	0.001850	0.001175	0.002878	0.007396	0.007262	0.005329	0.002459	0.001281	0.006878	-4700.025
68500	0.001044	0.002484	0.010490	0.004050	0.004133	0.001017	0.005123	0.001284	0.004876	0.007587	0.006150	0.005044	0.002326	0.002042	0.005889	-4695.606
68600	0.001087	0.001544	0.005625	0.003607	0.005435	0.003112	0.001811	0.002896	0.006389	0.008451	0.008243	0.007232	0.003720	0.000494	0.003850	-4702.028
68700	0.000589	0.001502	0.005505	0.004152	0.002964	0.002302	0.000848	0.002425	0.011784	0.008792	0.007471	0.007041	0.004647	0.004445	0.006432	-4693.653
68800	0.000738	0.003789	0.003114	0.004949	0.008604	0.003455	0.001093	0.001170	0.002538	0.007490	0.006151	0.003354	0.002936	0.002967	0.005611	-4695.771
68900	0.002029	0.002936	0.004431	0.005621	0.005313	0.007370	0.003639	0.000880	0.007885	0.008263	0.007821	0.007812	0.003042	0.005099	0.007958	-4699.410
69000	0.001079	0.001738	0.007972	0.007111	0.002290	0.007084	0.001295	0.002536	0.001671	0.007756	0.006821	0.006729	0.004259	0.002866	0.006975	-4697.394
69100	0.000693	0.002392	0.004172	0.004619	0.002633	0.003336	0.003951	0.003499	0.000913	0.010034	0.009753	0.006437	0.004002	0.004253	0.007058	-4694.662
69200	0.001242	0.001590	0.004670	0.001986	0.008345	0.002013	0.000824	0.003985	0.002480	0.010214	0.008187	0.006031	0.004944	0.004677	0.004450	-4693.283
69300	0.001174	0.001566	0.003803	0.002468	0.001921	0.003018	0.002798	0.008077	0.002436	0.009583	0.009211	0.006067	0.002319	0.003856	0.006496	-4698.463
69400	0.000895	0.002136	0.012939	0.009935	0.003823	0.001999	0.003457	0.001701	0.002781	0.006344	0.006205	0.006018	0.001255	0.002054	0.006025	-4690.275
69500	0.000642	0.001145	0.009433	0.011142	0.002541	0.001650	0.002275	0.002457	0.001680	0.006180	0.005659	0.004137	0.003708	0.002397	0.005204	-4695.589
69600	0.000811	0.002145	0.011962	0.004983	0.002302	0.002320	0.002243	0.001612	0.001756	0.008686	0.007663	0.006469	0.004311	0.003598	0.008098	-4695.136
69700	0.000882	0.002721	0.004872	0.005212	0.003095	0.002486	0.001093	0.000870	0.002822	0.008308	0.007758	0.004481	0.003576	0.002608	0.005311	-4694.409
69800	0.001841	0.001478	0.005538	0.006346	0.003136	0.005221	0.003313	0.002220	0.003794	0.010098	0.009190	0.004996	0.003382	0.002801	0.009612	-4703.760
69900	0.000778	0.000871	0.006597	0.005722	0.002678	0.001771	0.001150	0.010039	0.002527	0.009554	0.009457	0.007523	0.005118	0.004144	0.006388	-4692.313
70000	0.001196	0.001020	0.005899	0.009585	0.002115	0.002250	0.001156	0.001518	0.002536	0.008892	0.008302	0.006970	0.004810	0.004402	0.008425	-4702.107
70100	0.001351	0.001362	0.005638	0.003322	0.011381	0.000812	0.004134	0.002832	0.002869	0.009123	0.007234	0.004916	0.003206	0.004786	0.003092	-4700.604
70200	0.000901	0.001131	0.005265	0.006164	0.010153	0.004977	0.000903	0.002912	0.000947	0.012414	0.009378	0.008598	0.005977	0.005405	0.007065	-4711.458
70300	0.002041	0.001003	0.006169	0.004545	0.001042	0.002403	0.002126	0.002493	0.001040	0.010050	0.009909	0.007052	0.002812	0.004588	0.009168	-4695.064
70400	0.001072	0.001148	0.005871	0.002407	0.002544	0.002031	0.001633	0.001818	0.007088	0.008003	0.006805	0.006309	0.003971	0.002654	0.007015	-4694.467
70500	0.001678	0.001872	0.014043	0.004899	0.001252	0.002474	0.002889	0.000897	0.002211	0.010382	0.010335	0.007142	0.004106	0.004166	0.005503	-4696.521
70600	0.001585	0.003152	0.004104	0.003459	0.003775	0.004325	0.002544	0.002426	0.009287	0.009026	0.007752	0.004387	0.003256	0.001528	0.002849	-4707.902
70700	0.001374	0.001185	0.006669	0.004012	0.003828	0.002799	0.000987	0.001686	0.003459	0.009279	0.007915	0.005507	0.002894	0.003070	0.006249	-4691.612
70800	0.001092	0.001366	0.004236	0.005887	0.001661	0.000635	0.002263	0.001769	0.001298	0.008183	0.007076	0.005724	0.004580	0.002635	0.007557	-4698.011
70900	0.001753	0.001021	0.012953	0.006468	0.003494	0.003691	0.000843	0.006574	0.003152	0.010598	0.010176	0.004684	0.004389	0.003990	0.010536	-4697.548
71000	0.001560	0.001431	0.008303	0.005879	0.004271	0.005684	0.002081	0.001851	0.003024	0.012233	0.010816	0.007877	0.002946	0.005529	0.006390	-4699.575
71100	0.001166	0.001123	0.005228	0.008904	0.001433	0.002543	0.001768	0.001834	0.015017	0.009791	0.008673	0.003765	0.002592	0.002601	0.002977	-4702.064
71200	0.000942	0.000705	0.008853	0.004909	0.001953	0.001847	0.001074	0.001317	0.002209	0.008271	0.006841	0.005763	0.003975	0.002016	0.007159	-4699.915
71300	0.000718	0.001408	0.008400	0.003442	0.001722	0.002526	0.001629	0.001421	0.002292	0.008674	0.008377	0.007831	0.004756	0.003303	0.005400	-4697.993
71400	0.001569	0.001389	0.010721	0.005838	0.009889	0.002179	0.001641	0.006111	0.008335	0.011291	0.010170	0.008628	0.004888	0.003337	0.006265	-4694.869
71500	0.001753	0.001088	0.003327	0.005299	0.004454	0.001476	0.001313	0.002639	0.006275	0.008542	0.008357	0.008189	0.004161	0.006619	0.005684	-4697.245
71600	0.002293	0.002070	0.006465	0.002786	0.012103	0.001898	0.002145	0.001731	0.001707	0.009451	0.007114	0.005123	0.003535	0.003177	0.008930	-4694.004
71700	0.001136	0.003885	0.013312	0.004736	0.002606	0.001723	0.001646	0.001582	0.001583	0.010008	0.009886	0.007364	0.004497	0.003898	0.008774	-4696.103
71800	0.000868	0.002924	0.003698	0.002414	0.006058	0.001902	0.001256	0.003908	0.004255	0.007398	0.006430	0.003866	0.003373	0.000860	0.005757	-4698.276
71900	0.001564	0.001530	0.005102	0.011857	0.002286	0.001903	0.002234	0.001330	0.002576	0.006544	0.006509	0.005029	0.003739	0.004075	0.002653	-4689.555
72000	0.000965	0.002167	0.005760	0.004074	0.011920	0.001061	0.001044	0.001035	0.001645	0.007925	0.006381	0.006025	0.004083	0.004155	0.006371	-4690.258
72100	0.000949	0.001540	0.007459	0.002807	0.002445	0.001750	0.002753	0.010668	0.012044	0.007595	0.007004	0.006002	0.002377	0.001298	0.007579	-4694.879
72200	0.001089	0.000952	0.004034	0.004428	0.001376	0.002221	0.001818	0.002007	0.010653	0.009415	0.009332	0.007588	0.003703	0.004078	0.007488	-4700.264
72300	0.001316	0.001480	0.004089	0.003814	0.002283	0.001595	0.001902	0.004177	0.001940	0.007545	0.007529	0.006700	0.002821	0.004395	0.006748	-4695.289
72400	0.001351	0.001368	0.008047	0.006426	0.001426	0.003692	0.001330	0.000800	0.003165	0.006795	0.006740	0.005185	0.003130	0.001649	0.003138	-4707.166
72500	0.001247	0.001113	0.010505	0.002820	0.006133	0.001500	0.002463	0.001953	0.002250	0.007446	0.006917	0.006473	0.004600	0.004076	0.006893	-4698.928
72600	0.001781	0.000905	0.007139	0.004212	0.001826	0.002189	0.001116	0.002009	0.001680	0.007744	0.007240	0.004915	0.004170	0.002971	0.004740	-4695.503
72700	0.001069	0.001087	0.007221	0.003191	0.001100	0.001353	0.000971	0.001691	0.005989	0.010526	0.010408	0.004451	0.004046	0.002048	0.007473	-4697.920
72800	0.001316	0.000833	0.008411	0.003716	0.001703	0.004028	0.001326	0.005168	0.002413	0.011932	0.011332	0.004354	0.002785	0.003548	0.003738	-4697.191
72900	0.000701	0.002342	0.005095	0.002721	0.001374	0.003490	0.001115	0.001468	0.003376	0.011559	0.010788	0.006762	0.004463	0.000992	0.006266	-4699.044
73000	0.000646	0.001111	0.003868	0.002623	0.003110	0.003023	0.001220	0.003195	0.002845	0.011927	0.011637	0.004209	0.003930	0.003429	0.011864	-4692.487
73100	0.001778	0.001245	0.005803	0.003538	0.007975	0.001505	0.001114	0.011169	0.000940	0.009312	0.008179	0.007313	0.004793	0.000504	0.008767	-4697.103
73200	0.001117	0.000912	0.008542	0.005094	0.000749	0.002051	0.001615	0.005251	0.003256	0.007715	0.007532	0.005830	0.003438	0.001609	0.006546	-4697.669
73300	0.001160	0.001956	0.017755	0.006463	0.003864	0.005248	0.000507	0.001096	0.002883	0.008207	0.007884	0.006179	0.004119	0.004274	0.007318	-4692.464
73400	0.001538	0.003308	0.004220	0.005119	0.001244	0.003199	0.001668	0.001712	0.001580	0.009843	0.009658	0.006126	0.004084	0.000367	0.007482	-4697.201
73500	0.000731	0.000547	0.006989	0.005294	0.002004	0.002227	0.002272	0.002729	0.002448	0.007904	0.007675	0.006257	0.003878	0.003280	0.006437	-4695.272
73600	0.001708	0.003212	0.009681	0.001949	0.004635	0.005196	0.001837	0.001362	0.003610	0.011536	0.009730	0.008981	0.003338	0.006002	0.010784	-4702.318
73700	0.001440	0.001364	0.007242	0.004653	0.001357	0.002923	0.001452	0.002563	0.003821	0.009429	0.008106	0.005812	0.002866	0.003480	0.007989	-4696.918
73800	0.001939	0.000733	0.008532	0.003768	0.003836	0.001519	0.002835	0.001159	0.005807	0.007036	0.005897	0.004862	0.003837	0.003189	0.004885	-4694.265
73900	0.001011	0.001428	0.010040	0.005177	0.004048	0.002776	0.000836	0.005179	0.001607	0.007385	0.007353	0.006760	0.003073	0.003346	0.007099	-4692.641
74000	0.000979	0.002214	0.003986	0.002370	0.004434	0.002032	0.001529	0.001040	0.001533	0.008856	0.006067	0.005641	0.002003	0.003373	0.006731	-4702.170
74100	0.000856	0.001183	0.006863	0.003562	0.002546	0.001525	0.002809	0.001545	0.001214	0.007593	0.007487	0.006311	0.003971	0.005912	0.007078	-4695.962
74200	0.000914	0.001435	0.012947	0.002860	0.001780	0.001319	0.001149	0.002790	0.001843	0.009672	0.009228	0.007770	0.004525	0.004115	0.008723	-4699.297
74300	0.001392	0.001134	0.007650	0.003876	0.007465	0.002557	0.002124	0.001928	0.002558	0.008683	0.007281	0.006297	0.003893	0.004030	0.005109	-4699.244
74400	0.001118	0.001165	0.003487	0.005971	0.000838	0.002842	0.001698	0.001572	0.001837	0.007656	0.007626	0.007301	0.002847	0.004015	0.005046	-4699.930
74500	0.001082	0.001388	0.006839	0.003042	0.002792	0.003390	0.002148	0.002176	0.002588	0.010949	0.008832	0.006082	0.004908	0.003257	0.010395	-4700.922
74600	0.001542	0.001091	0.005184	0.005550	0.004676	0.001353	0.003183	0.001418	0.004662	0.009169	0.008898	0.008224	0.004945	0.004517	0.007108	-4707.392
74700	0.000939	0.001048	0.006072	0.008032	0.007181	0.002012	0.001694	0.003503	0.001108	0.008353	0.006690	0.005723	0.003338	0.002393	0.007827	-4691.217
74800	0.001311	0.001434	0.004778	0.008437	0.002150	0.001720	0.001946	0.001191	0.003317	0.008386	0.008022	0.005399	0.003629	0.003769	0.004960	-4698.404
74900	0.001579	0.000907	0.005002	0.006574	0.009968	0.001982	0.006933	0.001510	0.005566	0.007064	0.006183	0.004622	0.000871	0.001747	0.001771	-4695.821
75000	0.000892	0.002708	0.011102	0.003457	0.001453	0.001357	0.004657	0.002382	0.001528	0.009014	0.007977	0.007794	0.002556	0.002729	0.008179	-4699.299
75100	0.001131	0.001843	0.004003	0.005426	0.006900	0.001437	0.002205	0.001171	0.002221	0.007963	0.006720	0.006127	0.003197	0.004613	0.006910	-4700.623
75200	0.000695	0.001140	0.006715	0.007731	0.002736	0.001207	0.002165	0.001627	0.001254	0.005980	0.005365	0.004301	0.003523	0.001670	0.005138	-4707.805
75300	0.001280	0.000900	0.004425	0.007892	0.002696	0.002141	0.002958	0.002434	0.001707	0.007119	0.006011	0.004425	0.002654	0.002185	0.005466	-4703.262
75400	0.001163	0.000549	0.004950	0.003750	0.003225	0.002391	0.002207	0.002381	0.003209	0.006664	0.006223	0.004013	0.001658	0.003656	0.006235	-4695.465
75500	0.001147	0.000788	0.003806	0.001130	0.003112	0.004274	0.006513	0.001993	0.001917	0.009825	0.009732	0.008253	0.005064	0.004444	0.007499	-4705.402
75600	0.001232	0.001780	0.014929	0.005110	0.003063	0.002503	0.002111	0.001239	0.002176	0.008782	0.008618	0.006013	0.004954	0.002890	0.008429	-4701.580
75700	0.001437	0.001582	0.003159	0.004048	0.005590	0.001450	0.001508	0.002176	0.002473	0.009692	0.007659	0.006148	0.002526	0.005412	0.009436	-4705.132
75800	0.000755	0.001258	0.004957	0.005309	0.004007	0.001425	0.001432	0.002893	0.002022	0.009085	0.008247	0.006980	0.004433	0.004121	0.006002	-4693.505
75900	0.000632	0.002398	0.010229	0.004644	0.003927	0.001851	0.002543	0.003166	0.003127	0.008324	0.007653	0.005522	0.004100	0.002181	0.005847	-4691.922
76000	0.001024	0.002575	0.005427	0.003319	0.003664	0.001591	0.001064	0.002631	0.003208	0.009499	0.008501	0.006310	0.004228	0.003393	0.005168	-4693.015
76100	0.001458	0.001495	0.005739	0.010594	0.005446	0.003046	0.001453	0.002024	0.001725	0.008507	0.008337	0.006249	0.003090	0.005739	0.008358	-4692.296
76200	0.001164	0.002004	0.006231	0.003482	0.006794	0.000648	0.002353	0.001152	0.002865	0.007636	0.006864	0.005271	0.002986	0.003163	0.006085	-4691.936
76300	0.001727	0.001256	0.022677	0.005255	0.002314	0.006129	0.002117	0.004957	0.004353	0.008285	0.007724	0.006206	0.003476	0.003978	0.004263	-4691.817
76400	0.000727	0.001134	0.010868	0.002112	0.001738	0.001337	0.001625	0.004016	0.001985	0.007701	0.006480	0.005462	0.003240	0.001648	0.006883	-4703.407
76500	0.001398	0.001240	0.005646	0.002617	0.002057	0.001679	0.002321	0.002551	0.003720	0.009574	0.007302	0.005135	0.004896	0.003528	0.007697	-4705.057
76600	0.001134	0.001141	0.005101	0.002763	0.003179	0.003415	0.001111	0.001269	0.001997	0.007755	0.006323	0.005695	0.004332	0.000737	0.005561	-4692.320
76700	0.000985	0.001098	0.004933	0.003754	0.004725	0.001960	0.001659	0.003173	0.003547	0.007691	0.007337	0.006392	0.003733	0.004151	0.002518	-4694.876
76800	0.001139	0.001214	0.013777	0.005301	0.001951	0.001336	0.001181	0.001669	0.002810	0.007519	0.007174	0.004836	0.004363	0.002191	0.004757	-4693.415
76900	0.001009	0.002003	0.014455	0.003452	0.002736	0.001835	0.001499	0.003469	0.004785	0.009573	0.007960	0.004784	0.002688	0.001328	0.006741	-4691.928
77000	0.000675	0.001092	0.017507	0.004122	0.003393	0.010060	0.001049	0.002255	0.001749	0.008952	0.008541	0.004431	0.003932	0.003625	0.004628	-4702.744
77100	0.001059	0.001087	0.004879	0.007580	0.001527	0.007735	0.001142	0.001112	0.007057	0.007653	0.007382	0.005647	0.004787	0.004772	0.005186	-4700.556
77200	0.001370	0.001859	0.005632	0.003451	0.002146	0.001474	0.001572	0.009462	0.006317	0.009224	0.008640	0.006059	0.002845	0.003575	0.005225	-4693.445
77300	0.000433	0.001828	0.004894	0.001941	0.004137	0.001592	0.002412	0.002003	0.004920	0.008351	0.006680	0.005732	0.004068	0.004064	0.004579	-4699.373
77400	0.001752	0.001053	0.006692	0.005321	0.001993	0.001888	0.000985	0.002142	0.001418	0.007836	0.006586	0.005798	0.003515	0.003072	0.006940	-4697.067
77500	0.001340	0.002766	0.002614	0.005850	0.003383	0.001364	0.001299	0.002101	0.005525	0.010268	0.009247	0.005802	0.003176	0.001140	0.008631	-4710.099
77600	0.001822	0.001792	0.012293	0.009405	0.002537	0.001072	0.001856	0.002980	0.003178	0.006317	0.005855	0.003903	0.003015	0.003141	0.005382	-4696.671
77700	0.000968	0.002010	0.003507	0.004813	0.001232	0.001486	0.004357	0.001249	0.003723	0.008669	0.008383	0.006564	0.004137	0.003077	0.006649	-4702.461
77800	0.001769	0.001304	0.006472	0.004114	0.007317	0.002674	0.000519	0.000999	0.001155	0.009094	0.008306	0.006155	0.004794	0.004120	0.007962	-4695.918
77900	0.001128	0.001832	0.005713	0.002891	0.003141	0.001952	0.002484	0.001161	0.002373	0.007557	0.005203	0.004685	0.003356	0.004351	0.005637	-4694.560
78000	0.000989	0.001015	0.009147	0.006540	0.002236	0.002749	0.004015	0.004188	0.002720	0.007685	0.007162	0.005894	0.002480	0.001541	0.007226	-4692.030
78100	0.000988	0.001213	0.003476	0.002065	0.001695	0.012960	0.001211	0.001161	0.002993	0.008634	0.008481	0.007142	0.004700	0.005697	0.006248	-4694.514
78200	0.001444	0.000867	0.005924	0.003522	0.000961	0.003895	0.004789	0.002869	0.001973	0.008615	0.008349	0.006205	0.004299	0.003856	0.005036	-4688.475
78300	0.000841	0.001356	0.004141	0.006562	0.002441	0.000763	0.002071	0.001990	0.004990	0.008172	0.008002	0.006016	0.002525	0.002281	0.003991	-4695.828
78400	0.000655	0.001174	0.004326	0.003777	0.003155	0.004036	0.003800	0.002650	0.007344	0.009437	0.009165	0.005762	0.004187	0.004244	0.005563	-4696.251
78500	0.000732	0.001641	0.006663	0.003100	0.003910	0.001548	0.003575	0.001762	0.001529	0.010270	0.008459	0.007428	0.004322	0.003653	0.007957	-4697.978
78600	0.001246	0.000877	0.007534	0.003903	0.001827	0.001132	0.001762	0.003927	0.003468	0.010285	0.009434	0.008259	0.004622	0.004415	0.008296	-4694.590
78700	0.000990	0.001839	0.004987	0.008271	0.003706	0.003012	0.003254	0.000957	0.003811	0.008945	0.008590	0.005016	0.001761	0.004402	0.008004	-4693.275
78800	0.001349	0.001307	0.011009	0.007115	0.003147	0.003736	0.001543	0.001529	0.001658	0.009852	0.009668	0.005122	0.002306	0.002942	0.006876	-4703.990
78900	0.001175	0.001281	0.002863	0.005237	0.001767	0.001281	0.003459	0.003428	0.002403	0.008242	0.007940	0.006887	0.004068	0.005214	0.006032	-4692.254
79000	0.002111	0.001643	0.012783	0.009444	0.005364	0.001456	0.004737	0.002234	0.001904	0.007136	0.006801	0.005542	0.005024	0.002214	0.006911	-4707.276
79100	0.001259	0.001878	0.009730	0.005133	0.001266	0.005568	0.001612	0.004855	0.001886	0.006155	0.005739	0.005628	0.005030	0.004988	0.004404	-4695.463
79200	0.001677	0.002495	0.003922	0.008548	0.002907	0.003047	0.001492	0.001491	0.002413	0.006741	0.006373	0.006301	0.002644	0.003433	0.003974	-4700.897
79300	0.001216	0.003418	0.006039	0.003749	0.001161	0.006250	0.001231	0.004269	0.006569	0.008241	0.008100	0.006857	0.002419	0.004228	0.006379	-4700.927
79400	0.002270	0.001105	0.007650	0.006157	0.003117	0.006388	0.002654	0.003219	0.002229	0.007753	0.007447	0.004655	0.003852	0.003378	0.005486	-4696.200
79500	0.002036	0.001570	0.005617	0.004332	0.001753	0.003783	0.001704	0.000812	0.005141	0.007488	0.005907	0.005034	0.003541	0.003225	0.004384	-4698.245
79600	0.001133	0.001153	0.003229	0.007926	0.004646	0.001513	0.001432	0.001358	0.002416	0.006894	0.006685	0.006321	0.004062	0.003777	0.005970	-4694.109
79700	0.000819	0.001074	0.004515	0.011832	0.002613	0.002318	0.002130	0.005746	0.003795	0.008103	0.008030	0.004465	0.001704	0.003855	0.005864	-4706.832
79800	0.000864	0.001496	0.005204	0.011758	0.002565	0.003739	0.001887	0.003173	0.002587	0.008678	0.005471	0.004910	0.003278	0.003235	0.007286	-4696.394
79900	0.001022	0.000844	0.009987	0.004359	0.011164	0.001953	0.001814	0.007041	0.001637	0.008429	0.006302	0.005221	0.002526	0.003778	0.003558	-4704.731
80000	0.001270	0.000888	0.006380	0.003363	0.006800	0.002982	0.001714	0.002041	0.002090	0.009352	0.007734	0.005876	0.004297	0.003089	0.008904	-4694.237
80100	0.000836	0.002932	0.013187	0.003451	0.002457	0.004090	0.001868	0.000938	0.001360	0.010206	0.009910	0.008202	0.004132	0.006027	0.007428	-4698.677
80200	0.001698	0.002781	0.014758	0.008496	0.000568	0.001992	0.003944	0.002798	0.003074	0.006171	0.006076	0.005658	0.003024	0.002948	0.005866	-4690.943
80300	0.001299	0.001763	0.011821	0.003569	0.001911	0.006128	0.002131	0.002479	0.011728	0.008090	0.007507	0.007347	0.003898	0.003197	0.003079	-4696.160
80400	0.001397	0.002079	0.014365	0.006351	0.001314	0.002472	0.000832	0.001551	0.001109	0.007576	0.007381	0.005427	0.003300	0.004002	0.007112	-4700.863
80500	0.000669	0.001786	0.010004	0.004437	0.001368	0.002635	0.002009	0.001834	0.005948	0.008622	0.007817	0.004529	0.003202	0.002294	0.008069	-4695.155
80600	0.000692	0.001997	0.004454	0.005663	0.001567	0.000887	0.004573	0.000654	0.001507	0.008959	0.007962	0.006965	0.003538	0.004791	0.007711	-4703.590
80700	0.002604	0.001428	0.004741	0.004397	0.003631	0.002999	0.001415	0.011754	0.003738	0.009194	0.007979	0.006866	0.004756	0.002494	0.007525	-4703.570
80800	0.001200	0.002044	0.007762	0.004466	0.003916	0.002683	0.002264	0.001023	0.001348	0.009009	0.008193	0.006653	0.003195	0.002925	0.008060	-4695.523
80900	0.000869	0.000890	0.004354	0.004163	0.005986	0.003634	0.001351	0.001683	0.003728	0.008774	0.008369	0.005619	0.003314	0.003793	0.006304	-4698.539
81000	0.000631	0.000982	0.006703	0.006670	0.002014	0.001777	0.008873	0.001095	0.002449	0.007634	0.007232	0.005956	0.001469	0.003971	0.007612	-4692.453
81100	0.001343	0.000761	0.006667	0.004167	0.002283	0.003454	0.001085	0.001139	0.004953	0.008729	0.006760	0.006575	0.003664	0.002581	0.006401	-4704.186
81200	0.001226	0.001909	0.006693	0.005534	0.001563	0.003703	0.001223	0.002466	0.001107	0.009515	0.009152	0.006263	0.005030	0.002934	0.009115	-4699.430
81300	0.001230	0.000900	0.005429	0.002877	0.003241	0.000961	0.001125	0.002949	0.006279	0.009489	0.008773	0.006941	0.004854	0.005971	0.004387	-4707.914
81400	0.001037	0.002370	0.007929	0.003325	0.003082	0.002357	0.002019	0.001038	0.002179	0.008917	0.008393	0.007656	0.003747	0.005603	0.004247	-4712.010
81500	0.001087	0.001095	0.008462	0.015412	0.001764	0.003278	0.002308	0.005874	0.003696	0.009606	0.009153	0.007112	0.004121	0.003291	0.005672	-4693.205
81600	0.001636	0.001407	0.005401	0.003129	0.002490	0.006597	0.003213	0.003832	0.001435	0.010459	0.009020	0.005796	0.003271	0.002133	0.009490	-4696.623
81700	0.000985	0.001496	0.004665	0.002907	0.001438	0.001040	0.001610	0.003952	0.001894	0.009202	0.009114	0.008636	0.005056	0.006216	0.008394	-4698.451
81800	0.001888	0.002829	0.007336	0.002641	0.001499	0.001663	0.001672	0.005207	0.002240	0.007078	0.006806	0.005154	0.004441	0.004329	0.006082	-4705.298
81900	0.000979	0.000999	0.011725	0.003046	0.002462	0.004021	0.001235	0.002725	0.003408	0.008351	0.007408	0.006369	0.003332	0.005108	0.007767	-4694.705
82000	0.001104	0.001173	0.020822	0.002072	0.001809	0.005034	0.001521	0.005096	0.001671	0.008227	0.007780	0.005338	0.003139	0.003456	0.006866	-4687.983
82100	0.000969	0.001913	0.012649	0.002709	0.003244	0.002421	0.004513	0.001948	0.003038	0.009141	0.008405	0.004538	0.002262	0.004144	0.007717	-4691.713
82200	0.002082	0.000942	0.006569	0.005648	0.002532	0.001881	0.001747	0.003904	0.005454	0.008325	0.008234	0.007619	0.002860	0.002941	0.008274	-4703.847
82300	0.001310	0.001575	0.003671	0.003678	0.005935	0.001494	0.003819	0.002726	0.001111	0.012195	0.011180	0.007229	0.003878	0.006329	0.010067	-4711.003
